sampleid,experiment,set,compound,concentration_ugmL,compound_class,internal_standadard_used_for_normalization,CAS_number,formal_name,abbreviation,molecular_formula,neutral_mass,concentration_mM,concentration_µM,samplename,group,treatment,day,mouse.number
CC1,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Allocholic Acid,0.0233333333333333,Secondary,D4 Cholic acid,2464-18-8,"3_,7_,12_-Trihydroxy-5_-cholan-24-oic acid",alloCA,C24H40O5,408.2876,5.714925785973735e-5,0.05714925785973735,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Alloisolithocholic Acid,0,Secondary,D4 Lithocholic acid,2276-93-9,5_-Cholanic acid-3_-ol,isoalloLCA,C24H40O3,376.2978,0,0,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Alpha-Muricholic Acid,0.486666666666667,Primary Rodent,D5 Alpha-Muricholic Acid,2393-58-0,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.0011919702353602388,1.1919702353602388,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Beta-Muricholic Acid,1.91333333333333,Primary Rodent,D5 Alpha-Muricholic Acid,2393-59-1,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.004686239144498462,4.686239144498462,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Chenodeoxycholic Acid,0.156666666666667,Primary,D4 Deoxycholic acid,474-25-9,"5_-Cholanic acid-3_,7_-diol",CDCA,C24H40O4,392.2927,3.993616671089393e-4,0.39936166710893933,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Cholic Acid,3.21333333333333,Primary,D4 Cholic acid,81-25-4,"5_-Cholanic acid-3_, 7_, 12_-triol",CA,C24H40O5,408.2876,0.007870269225255262,7.870269225255262,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Deoxycholic Acid,0,Secondary,D4 Deoxycholic acid,83-44-3,"5_-Cholanic acid-3_, 12_-diol",DCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Glycochenodeoxycholic Acid,0.0233333333333333,Primary Conjugated,D4 Glycodeoxycholic acid,16564-43-5,"5_-Cholanic acid-3_, 7_-diol N-(carboxymethyl)-amide",GCDCA,C26H43NO5,449.3141,5.193100624559367e-5,0.05193100624559367,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Glycocholic Acid,0,Primary Conjugated,D4 Glycocholic Acid,475-31-0,"5_-Cholanic acid-3_, 7_, 12_-triol N-(carboxymethyl)-amide",GCA,C26H43NO6,465.309,0,0,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Isodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,570-63-8,"5_-Cholanic acid-3_, 12_-diol",IsoDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
