experiment,mouse.number,day,days.post.infection,sampleid,group,treatment,tube.weight,final.weight,sample.weight,challenge,replicate,suspension_volume_mL,dilution,count,plate_volume,CFU,CFU.g
CCME15,171,29,1,CC105,SPF,NVMC,0.9755,0.9994,0.0239,C. difficile,1,1,1000,11,0.01,1100000,46025104.60251061
CCME15,172,29,1,CC106,SPF,NVMC,0.9758,1.0177,0.0419,C. difficile,1,1,1000,31,0.01,3100000,73985680.19093071
CCME15,173,29,1,CC107,SPF,NVMC,0.9707,0.998,0.0273,C. difficile,1,1,1000,15,0.01,1500000,54945054.94505496
CCME15,174,29,1,CC108,SPF,NVMC,0.9639,0.9945,0.0306,C. difficile,1,1,1000,17,0.01,1700000,55555555.555555426
CCME15,175,29,1,CC125,PBS,Ampicillin,0.971,0.9996,0.0286,C. difficile,1,1,100,12,0.01,120000,4195804.195804185
CCME15,176,29,1,CC126,PBS,Ampicillin,0.9686,1.0003,0.0317,C. difficile,1,1,1,0,0.01,0,0
CCME15,177,29,1,CC127,PBS,Ampicillin,0.9777,1.0093,0.0316,C. difficile,1,1,1,0,0.01,0,0
CCME15,178,29,1,CC128,PBS,Ampicillin,0.9705,1.0052,0.0347,C. difficile,1,1,1,0,0.01,0,0
CCME15,163,29,1,CC109,BpKH6,Ampicillin,0.9727,0.9952,0.0225,C. difficile,1,1,1,0,0.01,0,0
CCME15,164,29,1,CC110,BpKH6,Ampicillin,0.9682,0.9978,0.0296,C. difficile,1,1,1,0,0.01,0,0
CCME15,165,29,1,CC111,BpKH6,Ampicillin,0.9786,0.9958,0.0172,C. difficile,1,1,1,0,0.01,0,0
CCME15,166,29,1,CC112,BpKH6,Ampicillin,0.9797,0.9982,0.0185,C. difficile,1,1,1,0,0.01,0,0
CCME15,167,29,1,CC113,BpSCSK,Ampicillin,0.9756,1.0094,0.0338,C. difficile,1,1,1,0,0.01,0,0
CCME15,168,29,1,CC114,BpSCSK,Ampicillin,0.9766,1.0007,0.0241,C. difficile,1,1,1,0,0.01,0,0
CCME15,169,29,1,CC115,BpSCSK,Ampicillin,0.9744,1.0014,0.027,C. difficile,1,1,1,0,0.01,0,0
CCME15,170,29,1,CC116,BpSCSK,Ampicillin,0.9747,0.9987,0.024,C. difficile,1,1,1,0,0.01,0,0
CCME15,171,35,7,CC121,SPF,NVMC,0.9744,1.0115,0.0371,C. difficile,1,1,100,42,0.01,420000,11320754.716981126
CCME15,172,35,7,CC122,SPF,NVMC,0.9746,1.0398,0.0652,C. difficile,1,1,100,20,0.01,200000,3067484.6625766857
CCME15,173,35,7,CC123,SPF,NVMC,0.9726,1.0254,0.0528,C. difficile,1,1,100,96,0.01,960000,18181818.181818157
CCME15,174,35,7,CC124,SPF,NVMC,0.9686,1.0336,0.065,C. difficile,1,1,100,65,0.01,650000,10000000
CCME15,175,35,7,CC137,PBS,Ampicillin,0.9685,1.0129,0.0444,C. difficile,1,1,1000,14,0.01,1400000,31531531.531531613
CCME15,176,35,7,CC138,PBS,Ampicillin,0.9797,1.0133,0.0336,C. difficile,1,1,100,11,0.01,110000,3273809.523809517
CCME15,177,35,7,CC139,PBS,Ampicillin,0.9784,1.0215,0.0431,C. difficile,1,1,10,82,0.01,82000,1902552.2041763328
CCME15,178,35,7,CC140,PBS,Ampicillin,0.9751,0.9925,0.0174,C. difficile,1,1,1,0,0.01,0,0
CCME15,163,35,7,CC129,BpKH6,Ampicillin,0.9749,1.011,0.0361,C. difficile,1,1,100,59,0.01,590000,16343490.30470918
CCME15,164,35,7,CC130,BpKH6,Ampicillin,0.9721,1.006,0.0339,C. difficile,1,1,100,7,0.01,70000,2064896.7551622393
CCME15,165,35,7,CC131,BpKH6,Ampicillin,0.9702,0.9976,0.0274,C. difficile,1,1,1,0,0.01,0,0
CCME15,166,35,7,CC132,BpKH6,Ampicillin,0.9705,1.017,0.0465,C. difficile,1,1,100,8,0.01,80000,1720430.1075268865
CCME15,167,35,7,CC133,BpSCSK,Ampicillin,0.9678,1.0085,0.0407,C. difficile,1,1,100,88,0.01,880000,21621621.62162164
CCME15,168,35,7,CC134,BpSCSK,Ampicillin,0.9679,1.0192,0.0513,C. difficile,1,1,100,133,0.01,1330000,25925925.925925866
CCME15,169,35,7,CC135,BpSCSK,Ampicillin,0.9816,1.05,0.0684,C. difficile,1,1,100,142,0.01,1420000,20760233.91812865
CCME15,170,35,7,CC136,BpSCSK,Ampicillin,0.9766,1.0234,0.0468,C. difficile,1,1,100,96,0.01,960000,20512820.51282049
