experiment,mouse.number,day,days.post.infection,sampleid,group,treatment,tube.weight,final.weight,sample.weight,challenge,replicate,suspension_volume_mL,dilution,count,plate_volume,CFU,CFU.g
CCME16,191,35,1,CC109,SPF,Ampicillin,0.9761,1.0104,0.0343,K. pneumoniae,1,1,10000,83,0.01,83000000,2419825072.8862977
CCME16,191,35,1,CC109,SPF,Ampicillin,0.9761,1.0104,0.0343,K. pneumoniae,2,1,10000,79,0.01,79000000,2303206997.0845485
CCME16,192,35,1,CC110,SPF,Ampicillin,0.9744,0.9992,0.024799999999999933,K. pneumoniae,1,1,10000,62,0.01,62000000,2500000000.0000067
CCME16,192,35,1,CC110,SPF,Ampicillin,0.9744,0.9992,0.024799999999999933,K. pneumoniae,2,1,10000,53,0.01,53000000,2137096774.1935542
CCME16,193,35,1,CC111,SPF,Ampicillin,0.9745,1.014,0.0395,K. pneumoniae,1,1,1000,134,0.01,13400000,339240506.3291141
CCME16,193,35,1,CC111,SPF,Ampicillin,0.9745,1.014,0.0395,K. pneumoniae,2,1,1000,130,0.01,13000000,329113924.0506331
CCME16,194,35,1,CC112,SPF,Ampicillin,0.9783,1.0016,0.0233,K. pneumoniae,1,1,10000,38,0.01,38000000,1630901287.553641
CCME16,194,35,1,CC112,SPF,Ampicillin,0.9783,1.0016,0.0233,K. pneumoniae,2,1,10000,29,0.01,29000000,1244635193.1330419
CCME16,179,35,1,CC113,PBS,Ampicillin,0.9775,0.9925,0.015000000000000013,K. pneumoniae,1,1,1,1,0.01,100,6666.666666666661
CCME16,179,35,1,CC113,PBS,Ampicillin,0.9775,0.9925,0.015000000000000013,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,180,35,1,CC114,PBS,Ampicillin,0.9764,1.0026,0.0262,K. pneumoniae,1,1,1,2,0.01,200,7633.587786259574
CCME16,180,35,1,CC114,PBS,Ampicillin,0.9764,1.0026,0.0262,K. pneumoniae,2,1,1,2,0.01,200,7633.587786259574
CCME16,181,35,1,CC115,PBS,Ampicillin,0.9817,1.0125,0.0308,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,181,35,1,CC115,PBS,Ampicillin,0.9817,1.0125,0.0308,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,182,35,1,CC116,PBS,Ampicillin,0.9811,1.0022,0.021100000000000008,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,182,35,1,CC116,PBS,Ampicillin,0.9811,1.0022,0.021100000000000008,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,183,35,1,CC117,BpKH6,Ampicillin,0.9738,0.9941,0.020299999999999985,K. pneumoniae,1,1,1,10,0.01,1000,49261.08374
CCME16,183,35,1,CC117,BpKH6,Ampicillin,0.9738,0.9941,0.020299999999999985,K. pneumoniae,2,1,1,5,0.01,500,24630.54187
CCME16,184,35,1,CC118,BpKH6,Ampicillin,0.9767,0.9938,0.017100000000000004,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,184,35,1,CC118,BpKH6,Ampicillin,0.9767,0.9938,0.017100000000000004,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,185,35,1,CC119,BpKH6,Ampicillin,0.9726,1.0034,0.0308,K. pneumoniae,1,1,1,2,0.01,200,6493.506493506483
CCME16,185,35,1,CC119,BpKH6,Ampicillin,0.9726,1.0034,0.0308,K. pneumoniae,2,1,1,1,0.01,100,3246.7532467532415
CCME16,186,35,1,CC120,BpKH6,Ampicillin,0.972,1.0015,0.0295,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,186,35,1,CC120,BpKH6,Ampicillin,0.972,1.0015,0.0295,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,187,35,1,CC121,BpSCSK,Ampicillin,0.9682,1.0039,0.035700000000000065,K. pneumoniae,1,1,1000,65,0.01,6500000,182072829.13165233
CCME16,187,35,1,CC121,BpSCSK,Ampicillin,0.9682,1.0039,0.035700000000000065,K. pneumoniae,2,1,1000,79,0.01,7900000,221288515.40616205
CCME16,188,35,1,CC122,BpSCSK,Ampicillin,0.9671,0.9864,0.019300000000000095,K. pneumoniae,1,1,1000,57,0.01,5700000,295336787.5647654
CCME16,188,35,1,CC122,BpSCSK,Ampicillin,0.9671,0.9864,0.019300000000000095,K. pneumoniae,2,1,1000,54,0.01,5400000,279792746.1139883
CCME16,189,35,1,CC123,BpSCSK,Ampicillin,0.975,0.9949,0.0199,K. pneumoniae,1,1,1000,44,0.01,4400000,221105527.63819063
CCME16,189,35,1,CC123,BpSCSK,Ampicillin,0.975,0.9949,0.0199,K. pneumoniae,2,1,1000,36,0.01,3600000,180904522.61306506
CCME16,190,35,1,CC124,BpSCSK,Ampicillin,0.9707,0.998,0.0273,K. pneumoniae,1,1,1000,37,0.01,3700000,135531135.5311356
CCME16,190,35,1,CC124,BpSCSK,Ampicillin,0.9707,0.998,0.0273,K. pneumoniae,2,1,1000,32,0.01,3200000,117216117.21611725
CCME16,191,37,3,CC125,SPF,Ampicillin,0.9777,1.005,0.0273,K. pneumoniae,1,1,1000,26,0.01,2600000,95238095.23809566
CCME16,191,37,3,CC125,SPF,Ampicillin,0.9777,1.005,0.0273,K. pneumoniae,2,1,1000,15,0.01,1500000,54945054.94505519
CCME16,192,37,3,CC126,SPF,Ampicillin,0.9714,1.0032,0.0318,K. pneumoniae,1,1,1000,13,0.01,1300000,40880503.14465402
CCME16,192,37,3,CC126,SPF,Ampicillin,0.9714,1.0032,0.0318,K. pneumoniae,2,1,1000,8,0.01,800000,25157232.704402477
CCME16,193,37,3,CC127,SPF,Ampicillin,0.9711,0.9864,0.015300000000000091,K. pneumoniae,1,1,100,23,0.01,230000,15032679.74
CCME16,193,37,3,CC127,SPF,Ampicillin,0.9711,0.9864,0.015300000000000091,K. pneumoniae,2,1,100,20,0.01,200000,13071895.424836524
CCME16,194,37,3,CC128,SPF,Ampicillin,0.9814,1.0153,0.0339,K. pneumoniae,1,1,1000,53,0.01,5300000,156342182.89085525
CCME16,194,37,3,CC128,SPF,Ampicillin,0.9814,1.0153,0.0339,K. pneumoniae,2,1,1000,58,0.01,5800000,171091445.4277284
CCME16,179,37,3,CC129,PBS,Ampicillin,0.9774,1.0037,0.0263,K. pneumoniae,1,1,100,26,0.01,260000,9885931.558935365
CCME16,179,37,3,CC129,PBS,Ampicillin,0.9774,1.0037,0.0263,K. pneumoniae,2,1,100,36,0.01,360000,13688212.92775666
CCME16,180,37,3,CC130,PBS,Ampicillin,0.9696,0.9886,0.019000000000000017,K. pneumoniae,1,1,100,30,0.01,300000,15789473.684210513
CCME16,180,37,3,CC130,PBS,Ampicillin,0.9696,0.9886,0.019000000000000017,K. pneumoniae,2,1,100,43,0.01,430000,22631578.947368402
CCME16,181,37,3,CC131,PBS,Ampicillin,0.9737,0.9984,0.024699999999999944,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,181,37,3,CC131,PBS,Ampicillin,0.9737,0.9984,0.024699999999999944,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,182,37,3,CC132,PBS,Ampicillin,0.9667,0.9903,0.023599999999999954,K. pneumoniae,1,1,1,1,0.01,100,4237.288135593229
CCME16,182,37,3,CC132,PBS,Ampicillin,0.9667,0.9903,0.023599999999999954,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,183,37,3,CC133,BpKH6,Ampicillin,0.9773,0.995,0.0177,K. pneumoniae,1,1,100,20,0.01,200000,11299435.028248556
CCME16,183,37,3,CC133,BpKH6,Ampicillin,0.9773,0.995,0.0177,K. pneumoniae,2,1,100,20,0.01,200000,11299435.028248556
CCME16,184,37,3,CC134,BpKH6,Ampicillin,0.9762,0.9943,0.018100000000000005,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,184,37,3,CC134,BpKH6,Ampicillin,0.9762,0.9943,0.018100000000000005,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,185,37,3,CC135,BpKH6,Ampicillin,0.9723,0.9968,0.024499999999999966,K. pneumoniae,1,1,1,0,0.01,0,0
CCME16,185,37,3,CC135,BpKH6,Ampicillin,0.9723,0.9968,0.024499999999999966,K. pneumoniae,2,1,1,0,0.01,0,0
CCME16,186,37,3,CC136,BpKH6,Ampicillin,0.9713,0.9923,0.020999999999999908,K. pneumoniae,1,1,1,0,0.01,0,0
