sampleid,experiment,set,compound,concentration_mM,compound_class,samplename,group,treatment,day,mouse.number
CC1,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Glycine,0.18,Amino Acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Proline,1.3499999999999999,Amino Acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Tyramine,0.15,Other,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC2,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Glycine,0.09,Amino Acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Proline,1.49,Amino Acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Tyramine,0.11,Other,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC3,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Glycine,0.6,Amino Acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Proline,2.18,Amino Acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Tyramine,0.18,Other,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
