day,group,antibiotics,gavage,challenge,sample_collection,important,treatment
-8,fmt_control,yes,,,,yes,antibiotics
-7,fmt_control,yes,,,,,antibiotics
-6,fmt_control,yes,,,,,antibiotics
-5,fmt_control,yes,,,,,antibiotics
-4,fmt_control,yes,,,,,antibiotics
-3,fmt_control,,,,,,off_antibiotics
-2,fmt_control,,yes,,yes,yes,off_antibiotics
-1,fmt_control,,yes,,,yes,off_antibiotics
0,fmt_control,,yes,,,yes,off_antibiotics
1,fmt_control,,,,yes,,off_antibiotics
2,fmt_control,,,,,,off_antibiotics
3,fmt_control,,,,yes,,off_antibiotics
4,fmt_control,,,,,,off_antibiotics
5,fmt_control,,,,,,off_antibiotics
6,fmt_control,,,,,,off_antibiotics
7,fmt_control,,,,yes,yes,off_antibiotics
8,fmt_control,,,,,,off_antibiotics
9,fmt_control,,,,,,off_antibiotics
10,fmt_control,,,,,,off_antibiotics
11,fmt_control,,,,,,off_antibiotics
12,fmt_control,,,,,,off_antibiotics
13,fmt_control,,,,,,off_antibiotics
14,fmt_control,,,,yes,yes,off_antibiotics
